Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.061826388060109,-5.893535290075587,3.7117189887156316,-4.357293845563277,6.525712722275005 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.879484056217302,-8.36093893133526,3.1068424773295648,-6.444880780742892,6.427134624388006 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,5.677143825838523,-10.836314293053415,2.4959545601508354,-8.538808644000824,6.296781599392026 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,5.458943984160182,-13.318310587013104,1.8702743235751314,-10.640403546316805,6.144382762737642 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,5.389812566259654,-13.119279373086373,1.8005793994327633,-10.482431856737435,6.006990294474774 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,5.307168538268907,-12.942226918518509,1.7659789711385088,-10.337814232421409,5.901542196720701 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,5.241709419788324,-12.764014727215434,1.7370443246474566,-10.192785496481975,5.822596023892742 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,5.187428088839352,-12.585882832971633,1.7208010874688285,-10.045113475121696,5.759116892690874 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.1348603642364349,-12.459528596318384,1.715349366824853,-9.907805925013463,5.7022427104339699 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.085385389599456,-12.334529540519452,1.7047932531520474,-9.750996645853605,5.647510886450212 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,5.03684860174414,-12.211043164862355,1.7028323508548056,-9.612631820293359,5.593743858661981 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.988713320192635,-12.08911960450761,1.6946015842623866,-9.45618801433693,5.540735466542396 
